alpha,FPR,TPR,FDR,NPrecision,NRecall,diffnetfinder_sec,run,dim,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC
0.5,0.00030165912518853697,1.0,0.375,0.625,1.0,44.40822759992443,3,200,10.0,19884.0,6.0,0.0,1.0,0.00030165912518853697,0.9996984924623116
0.55,0.0003519356460532931,1.0,0.4117647058823529,0.5882352941176471,1.0,44.40822759992443,3,200,10.0,19883.0,7.0,0.0,1.0,0.0003519356460532931,0.9996482412060301
0.6,0.0009049773755656109,1.0,0.6428571428571429,0.35714285714285715,1.0,44.40822759992443,3,200,10.0,19872.0,18.0,0.0,1.0,0.0009049773755656109,0.9990954773869347
0.65,0.0017094017094017094,1.0,0.7727272727272727,0.22727272727272727,1.0,44.40822759992443,3,200,10.0,19856.0,34.0,0.0,1.0,0.0017094017094017094,0.9982914572864322
0.7,0.0022624434389140274,1.0,0.8181818181818182,0.18181818181818182,1.0,44.40822759992443,3,200,10.0,19845.0,45.0,0.0,1.0,0.0022624434389140274,0.9977386934673367
0.75,0.0024635495223730517,1.0,0.8305084745762712,0.1694915254237288,1.0,44.40822759992443,3,200,10.0,19841.0,49.0,0.0,1.0,0.0024635495223730517,0.997537688442211
0.8,0.003569632981397687,1.0,0.8765432098765432,0.12345679012345678,1.0,44.40822759992443,3,200,10.0,19819.0,71.0,0.0,1.0,0.003569632981397687,0.9964321608040201
0.85,0.003770739064856712,1.0,0.8823529411764706,0.11764705882352941,1.0,44.40822759992443,3,200,10.0,19815.0,75.0,0.0,1.0,0.003770739064856712,0.9962311557788944
0.9,0.008195072900955254,1.0,0.9421965317919075,0.057803468208092484,1.0,44.40822759992443,3,200,10.0,19727.0,163.0,0.0,1.0,0.008195072900955254,0.9918090452261307
0.95,0.0110105580693816,1.0,0.9563318777292577,0.043668122270742356,1.0,44.40822759992443,3,200,10.0,19671.0,219.0,0.0,1.0,0.0110105580693816,0.9889949748743718
1.0,0.9926596279537456,1.0,0.9994937734129796,0.0005062265870203503,1.0,44.40822759992443,3,200,10.0,146.0,19744.0,0.0,1.0,0.9926596279537456,0.007839195979899497
0.05,0.0,1.0,0.0,1.0,1.0,43.939808499999344,4,200,10.0,19890.0,0.0,0.0,1.0,0.0,1.0
0.1,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,43.939808499999344,4,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.15,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,43.939808499999344,4,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
